family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,compatible_blocks,saturated_blocks,reachable_disjoint_unions,chosen_blocks,exclusive_assignment,residual_numerator,residual_denominator,pbt_residual_numerator,pbt_residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,fcrt_chosen_blocks,fcrt_item_assignment,fcrt_residual_numerator,fcrt_residual_denominator,fcrt_fragmentation_numerator,fcrt_fragmentation_denominator,fcrt_improvement_numerator,fcrt_improvement_denominator,fcrt_block_family_count,radical_abc,ratio_grid_floor,fcrt_ratio_grid_floor
composite_base_unit_power,base=42;exponent=9,1,406671383849471,406671383849472,2^9;3^9;7^9,2:256;3:6561;7:5764801,13;19;41;139;288900307,7,7,8,[2+3+7|13+19+41+139+288900307],13->block;19->block;41->block;139->block;288900307->block,1,1,1679616,1407653,1,1,1,1,[2+3+7|13+19+41+139+288900307],token#6:1/1->unused,1,1,1,1,1,1,8,17080198121677782,0,0
composite_base_unit_power,base=6;exponent=10,1,60466175,60466176,2^10;3^10,2:512;3:19683,5;7;11;101;311,3,3,4,[2+3|5+7+11+101+311],5->block;7->block;11->block;101->block;311->block,1,1,512,505,1,1,1,1,[2+3|5+7+11+101+311],token#2:1/1->unused,1,1,1,1,1,1,4,72559410,0,0
composite_base_unit_power,base=6;exponent=2,1,35,36,2^2;3^2,2:2;3:3,5;7,4,4,5,,5->2;7->3,1,1,1,1,1,1,1,1,,5->2;7->3,1,1,1,1,1,1,5,210,0,0
composite_base_unit_power,base=6;exponent=3,1,215,216,2^3;3^3,2:4;3:9,5;43,3,3,4,,5->2;43->3,1,1,1,1,1,1,1,1,,5->2;43->3,1,1,1,1,1,1,4,1290,0,0
composite_base_unit_power,base=6;exponent=4,1,1295,1296,2^4;3^4,2:8;3:27,5;7;37,3,3,4,,5->2;7->2;37->3,1,1,1,1,1,1,1,1,,5->2;7->2;37->3,1,1,1,1,1,1,4,7770,0,0
composite_base_unit_power,base=6;exponent=5,1,7775,7776,2^5;3^5,2:16;3:81,5;311,3,3,4,[2+3|5+311],5->block;311->block,1,1,16,5,1,1,1,1,[2+3|5+311],token#2:1/1->unused,1,1,1,1,1,1,4,9330,0,0
composite_base_unit_power,base=6;exponent=6,1,46655,46656,2^6;3^6,2:32;3:243,5;7;31;43,3,3,4,,5->2;7->2;31->3;43->3,1,1,1,1,1,1,1,1,,5->2;7->2;31->3;43->3,1,1,1,1,1,1,4,279930,0,0
composite_base_unit_power,base=6;exponent=7,1,279935,279936,2^7;3^7,2:64;3:729,5;55987,3,3,4,[2+3|5+55987],5->block;55987->block,1,1,64,5,1,1,1,1,[2+3|5+55987],token#2:1/1->unused,1,1,1,1,1,1,4,1679610,0,0
composite_base_unit_power,base=6;exponent=8,1,1679615,1679616,2^8;3^8,2:128;3:2187,5;7;37;1297,3,3,4,,5->2;7->3;37->2;1297->3,1,1,1,1,1,1,1,1,,5->2;7->3;37->2;1297->3,1,1,1,1,1,1,4,10077690,0,0
composite_base_unit_power,base=6;exponent=9,1,10077695,10077696,2^9;3^9,2:256;3:6561,5;19;43;2467,3,3,4,,5->3;19->2;43->2;2467->3,1,1,1,1,1,1,1,1,,5->3;19->2;43->2;2467->3,1,1,1,1,1,1,4,60466170,0,0
forced_hard_witness,four-layer-strict-chain,1,65024,65025,3^2;5^2;17^2,3:3;5:5;17:17,2;127,8,6,7,[5+17|2+127],2->block;127->block,3,1,15,2,255,254,254,85,[5+17|2+127],token#5:2/1->3,3,2,127,85,2,1,7,64770,1189,439
linnik_prime_predecessor_finite,k=2;M=6;multiplier=2;ell=71,1,71,72,2^3;3^2,2:4;3:3,71,3,3,4,[2+3|71],71->block,1,1,3,1,1,1,1,1,[2+3|71],token#2:1/1->unused,1,1,1,1,1,1,4,426,0,0
linnik_prime_predecessor_finite,k=3;M=30;multiplier=3;ell=2699,1,2699,2700,2^2;3^3;5^2,2:2;3:9;5:5,2699,7,7,8,[2+3+5|2699],2699->block,1,1,10,1,1,1,1,1,[2+3+5|2699],token#6:1/1->unused,1,1,1,1,1,1,8,80970,0,0
linnik_prime_predecessor_finite,k=4;M=210;multiplier=3;ell=132299,1,132299,132300,2^2;3^3;5^2;7^2,2:2;3:9;5:5;7:7,132299,15,15,16,[2+3+5+7|132299],132299->block,1,1,70,1,1,1,1,1,[2+3+5+7|132299],token#14:1/1->unused,1,1,1,1,1,1,16,27782790,0,0
linnik_prime_predecessor_finite,k=5;M=2310;multiplier=6;ell=32016599,1,32016599,32016600,2^3;3^3;5^2;7^2;11^2,2:4;3:9;5:5;7:7;11:11,32016599,31,31,32,[2+3+5+7+11|32016599],32016599->block,1,1,1260,1,1,1,1,1,[2+3+5+7+11|32016599],token#30:1/1->unused,1,1,1,1,1,1,32,73958343690,0,0
linnik_prime_predecessor_finite,k=6;M=30030;multiplier=2;ell=1803601799,1,1803601799,1803601800,2^3;3^2;5^2;7^2;11^2;13^2,2:4;3:3;5:5;7:7;11:11;13:13,1803601799,63,63,64,[2+3+5+7+11+13|1803601799],1803601799->block,1,1,4620,1,1,1,1,1,[2+3+5+7+11+13|1803601799],token#62:1/1->unused,1,1,1,1,1,1,64,54162162023970,0,0
linnik_shifted_minus_two_finite,k=2;M=15;multiplier=1;ell=223,2,223,225,3^2;5^2,3:3;5:5,2;223,3,3,4,[3+5|2+223],2->block;223->block,1,1,3,2,1,1,1,1,[3+5|2+223],token#2:1/1->unused,1,1,1,1,1,1,4,6690,0,0
linnik_shifted_minus_two_finite,k=3;M=105;multiplier=3;ell=33073,2,33073,33075,3^3;5^2;7^2,3:9;5:5;7:7,2;33073,7,7,8,[3+5+7|2+33073],2->block;33073->block,1,1,35,2,1,1,1,1,[3+5+7|2+33073],token#6:1/1->unused,1,1,1,1,1,1,8,6945330,0,0
linnik_shifted_minus_two_finite,k=4;M=1155;multiplier=9;ell=12006223,2,12006223,12006225,3^4;5^2;7^2;11^2,3:27;5:5;7:7;11:11,2;12006223,15,15,16,[3+5+7+11|2+12006223],2->block;12006223->block,1,1,385,2,1,1,1,1,[3+5+7+11|2+12006223],token#14:1/1->unused,1,1,1,1,1,1,16,27734375130,0,0
linnik_shifted_minus_two_finite,k=5;M=15015;multiplier=1;ell=225450223,2,225450223,225450225,3^2;5^2;7^2;11^2;13^2,3:3;5:5;7:7;11:11;13:13,2;225450223,31,31,32,[3+5+7+11+13|2+225450223],2->block;225450223->block,1,1,1155,2,1,1,1,1,[3+5+7+11+13|2+225450223],token#30:1/1->unused,1,1,1,1,1,1,32,6770270196690,0,0
