a,b,c,radical,support_vertices,covering_faces,zero_defect_cover,min_raw_defect,raw_face,raw_ratio,min_scalar_unmatched,scalar_face,scalar_ratio,min_monotone_unmatched,flow_face,flow_ratio,family,index
8649,18696976,18705625,173922090,7,88,False,4371,"A:3^2,A:31^2,B:47^2",0.44179903886026817,0.0,"A:3^2,A:31^2,B:2^4,B:23^2",0.0,0.0,"A:3^2,A:31^2,B:2^4,B:23^2",0.0,pythagorean,46
9025,20358144,20367169,120903270,6,40,False,4513,C:4513^2,0.45214888282608695,0.0,"A:5^2,A:19^2,B:2^10,B:3^2",0.0,0.0,"A:5^2,A:19^2,B:2^10,B:3^2",0.0,pythagorean,47
9409,22127616,22137025,19168170,6,43,False,4705,"C:5^2,C:941^2",0.5042937116719941,0.14400045523272986,"C:5^2,C:941^2",0.008587423343988033,1.1652265778826758,"B:2^10,B:7^4,C:5^2",0.06948793251919282,pythagorean,48
9801,24010000,24019801,870870,7,89,False,39875,"A:11^2,B:5^4,C:29^2",0.7745348221430188,3.3171410988552443,"C:13^4,C:29^2",0.24252986427143683,4.242181646892506,"B:2^4,B:7^4,C:29^2",0.3101633932275842,pythagorean,49
10201,26010000,26020201,262752510,6,42,False,5101,C:5101^2,0.4403628104072509,0.0,"A:101^2,B:2^4,B:5^4",0.0,0.0,"A:101^2,B:2^4,B:5^4",0.0,pythagorean,50
10609,28132416,28143025,724546290,7,85,False,5305,"C:5^2,C:1061^2",0.42039024660077606,0.0,"A:103^2,B:2^6,B:13^2",0.0,0.0,"A:103^2,B:2^6,B:13^2",0.0,pythagorean,51
11025,30382144,30393169,797675970,8,180,False,5513,"C:37^2,C:149^2",0.42029441807766554,0.0,"A:3^2,A:5^2,A:7^2,B:2^6,B:13^2",0.0,0.0,"A:3^2,A:5^2,A:7^2,B:2^6,B:13^2",0.0,pythagorean,52
11449,32764176,32775625,38959770,6,43,False,12137,"B:53^2,C:229^2",0.538047392351893,0.0,"B:3^6,C:229^2",0.0,1.0779579076695704,"A:107^2,B:2^4,C:5^4",0.06167498755310011,pythagorean,53
11881,35283600,35295481,213697770,7,87,False,5941,"C:13^2,C:457^2",0.45305524224096666,0.0,"A:109^2,B:2^4,B:3^6",0.0,0.0,"A:109^2,B:2^4,B:3^6",0.0,pythagorean,54
12321,37945600,37957921,526580670,8,180,False,6161,"C:61^2,C:101^2",0.4345200315204126,0.0,"A:3^2,A:37^2,B:2^8,B:5^2",0.0,0.0,"A:3^2,A:37^2,B:2^8,B:5^2",0.0,pythagorean,55
