n,is_prime_index,p,residue_mod_p2,quotient_mod_p,method,status
416,0,3,3,1,small-prime recurrence scan,not_squarefull
417,0,5,15,3,small-prime recurrence scan,not_squarefull
418,0,2,2,1,small-prime recurrence scan,not_squarefull
419,1,839,108231,129,small-prime recurrence scan,not_squarefull
420,0,11,110,10,small-prime recurrence scan,not_squarefull
421,1,,,,,unresolved_by_search
422,0,2,2,1,small-prime recurrence scan,not_squarefull
423,0,5,10,2,small-prime recurrence scan,not_squarefull
424,0,3,6,2,small-prime recurrence scan,not_squarefull
425,0,29,145,5,small-prime recurrence scan,not_squarefull
426,0,2,2,1,small-prime recurrence scan,not_squarefull
427,0,239,7648,32,small-prime recurrence scan,not_squarefull
428,0,3,3,1,small-prime recurrence scan,not_squarefull
429,0,5,5,1,small-prime recurrence scan,not_squarefull
430,0,2,2,1,small-prime recurrence scan,not_squarefull
431,1,863,6904,8,small-prime recurrence scan,not_squarefull
432,0,5,10,2,small-prime recurrence scan,not_squarefull
433,1,,,,,unresolved_by_search
434,0,2,2,1,small-prime recurrence scan,not_squarefull
435,0,7,28,4,small-prime recurrence scan,not_squarefull
436,0,3,6,2,small-prime recurrence scan,not_squarefull
437,0,37,1073,29,small-prime recurrence scan,not_squarefull
438,0,2,2,1,small-prime recurrence scan,not_squarefull
439,1,877,437623,499,small-prime recurrence scan,not_squarefull
440,0,3,3,1,small-prime recurrence scan,not_squarefull
441,0,5,20,4,small-prime recurrence scan,not_squarefull
442,0,2,2,1,small-prime recurrence scan,not_squarefull
443,1,887,641301,723,small-prime recurrence scan,not_squarefull
444,0,5,20,4,small-prime recurrence scan,not_squarefull
445,0,29,696,24,small-prime recurrence scan,not_squarefull
446,0,2,2,1,small-prime recurrence scan,not_squarefull
447,0,5,15,3,small-prime recurrence scan,not_squarefull
448,0,3,6,2,small-prime recurrence scan,not_squarefull
449,1,2693,5248657,1949,small-prime recurrence scan,not_squarefull
450,0,2,2,1,small-prime recurrence scan,not_squarefull
451,0,23,345,15,small-prime recurrence scan,not_squarefull
452,0,3,3,1,small-prime recurrence scan,not_squarefull
453,0,5,10,2,small-prime recurrence scan,not_squarefull
454,0,2,2,1,small-prime recurrence scan,not_squarefull
455,0,29,551,19,small-prime recurrence scan,not_squarefull
456,0,5,5,1,small-prime recurrence scan,not_squarefull
457,1,39301,460568419,11719,small-prime recurrence scan,not_squarefull
458,0,2,2,1,small-prime recurrence scan,not_squarefull
459,0,5,5,1,small-prime recurrence scan,not_squarefull
460,0,3,6,2,small-prime recurrence scan,not_squarefull
461,1,2767,3417245,1235,small-prime recurrence scan,not_squarefull
462,0,2,2,1,small-prime recurrence scan,not_squarefull
463,1,85193,6018544678,70646,small-prime recurrence scan,not_squarefull
464,0,3,3,1,small-prime recurrence scan,not_squarefull
465,0,7,35,5,small-prime recurrence scan,not_squarefull
466,0,2,2,1,small-prime recurrence scan,not_squarefull
467,1,123289,2248051626,18234,small-prime recurrence scan,not_squarefull
468,0,5,15,3,small-prime recurrence scan,not_squarefull
469,0,239,21510,90,small-prime recurrence scan,not_squarefull
470,0,2,2,1,small-prime recurrence scan,not_squarefull
471,0,5,20,4,small-prime recurrence scan,not_squarefull
472,0,3,6,2,small-prime recurrence scan,not_squarefull
473,0,23,207,9,small-prime recurrence scan,not_squarefull
474,0,2,2,1,small-prime recurrence scan,not_squarefull
475,0,29,261,9,small-prime recurrence scan,not_squarefull
476,0,3,3,1,small-prime recurrence scan,not_squarefull
477,0,5,15,3,small-prime recurrence scan,not_squarefull
478,0,2,2,1,small-prime recurrence scan,not_squarefull
479,1,4789,17149409,3581,small-prime recurrence scan,not_squarefull
480,0,7,14,2,small-prime recurrence scan,not_squarefull
481,0,79,5925,75,small-prime recurrence scan,not_squarefull
482,0,2,2,1,small-prime recurrence scan,not_squarefull
483,0,5,10,2,small-prime recurrence scan,not_squarefull
484,0,3,6,2,small-prime recurrence scan,not_squarefull
485,0,29,116,4,small-prime recurrence scan,not_squarefull
486,0,2,2,1,small-prime recurrence scan,not_squarefull
