n,is_prime_index,p,residue_mod_p2,quotient_mod_p,method,status
1451,1,2903,3750676,1292,small-prime recurrence scan,not_squarefull
1452,0,5,10,2,small-prime recurrence scan,not_squarefull
1453,1,531799,233466142588,439012,prime-index congruence search,not_squarefull
1454,0,2,2,1,small-prime recurrence scan,not_squarefull
1455,0,7,21,3,small-prime recurrence scan,not_squarefull
1456,0,3,6,2,small-prime recurrence scan,not_squarefull
1457,0,61,3111,51,small-prime recurrence scan,not_squarefull
1458,0,2,2,1,small-prime recurrence scan,not_squarefull
1459,1,2917,2068153,709,small-prime recurrence scan,not_squarefull
1460,0,3,3,1,small-prime recurrence scan,not_squarefull
1461,0,5,20,4,small-prime recurrence scan,not_squarefull
1462,0,2,2,1,small-prime recurrence scan,not_squarefull
1463,0,23,345,15,small-prime recurrence scan,not_squarefull
1464,0,5,20,4,small-prime recurrence scan,not_squarefull
1465,0,29,203,7,small-prime recurrence scan,not_squarefull
1466,0,2,2,1,small-prime recurrence scan,not_squarefull
1467,0,5,15,3,small-prime recurrence scan,not_squarefull
1468,0,3,6,2,small-prime recurrence scan,not_squarefull
1469,0,79,553,7,small-prime recurrence scan,not_squarefull
1470,0,2,2,1,small-prime recurrence scan,not_squarefull
1471,1,23537,380852197,16181,small-prime recurrence scan,not_squarefull
1472,0,3,3,1,small-prime recurrence scan,not_squarefull
1473,0,5,10,2,small-prime recurrence scan,not_squarefull
1474,0,2,2,1,small-prime recurrence scan,not_squarefull
1475,0,29,58,2,small-prime recurrence scan,not_squarefull
1476,0,5,5,1,small-prime recurrence scan,not_squarefull
1477,0,239,11472,48,small-prime recurrence scan,not_squarefull
1478,0,2,2,1,small-prime recurrence scan,not_squarefull
1479,0,5,5,1,small-prime recurrence scan,not_squarefull
1480,0,3,6,2,small-prime recurrence scan,not_squarefull
1481,1,8887,50024923,5629,small-prime recurrence scan,not_squarefull
1482,0,2,2,1,small-prime recurrence scan,not_squarefull
1483,1,14831,59754099,4029,small-prime recurrence scan,not_squarefull
1484,0,3,3,1,small-prime recurrence scan,not_squarefull
1485,0,7,28,4,small-prime recurrence scan,not_squarefull
1486,0,2,2,1,small-prime recurrence scan,not_squarefull
1487,1,11897,93022643,7819,small-prime recurrence scan,not_squarefull
1488,0,5,15,3,small-prime recurrence scan,not_squarefull
1489,1,59561,1175078969,19729,small-prime recurrence scan,not_squarefull
1490,0,2,2,1,small-prime recurrence scan,not_squarefull
1491,0,5,20,4,small-prime recurrence scan,not_squarefull
1492,0,3,6,2,small-prime recurrence scan,not_squarefull
1493,1,83609,2862437724,34236,small-prime recurrence scan,not_squarefull
1494,0,2,2,1,small-prime recurrence scan,not_squarefull
1495,0,29,609,21,small-prime recurrence scan,not_squarefull
1496,0,3,3,1,small-prime recurrence scan,not_squarefull
1497,0,5,15,3,small-prime recurrence scan,not_squarefull
1498,0,2,2,1,small-prime recurrence scan,not_squarefull
1499,1,2999,7281572,2428,small-prime recurrence scan,not_squarefull
1500,0,7,7,1,small-prime recurrence scan,not_squarefull
1501,0,37,888,24,small-prime recurrence scan,not_squarefull
1502,0,2,2,1,small-prime recurrence scan,not_squarefull
1503,0,5,10,2,small-prime recurrence scan,not_squarefull
1504,0,3,6,2,small-prime recurrence scan,not_squarefull
1505,0,29,464,16,small-prime recurrence scan,not_squarefull
1506,0,2,2,1,small-prime recurrence scan,not_squarefull
1507,0,23,69,3,small-prime recurrence scan,not_squarefull
1508,0,3,3,1,small-prime recurrence scan,not_squarefull
1509,0,5,5,1,small-prime recurrence scan,not_squarefull
1510,0,2,2,1,small-prime recurrence scan,not_squarefull
1511,1,3023,7094981,2347,small-prime recurrence scan,not_squarefull
1512,0,5,10,2,small-prime recurrence scan,not_squarefull
1513,0,103,4841,47,small-prime recurrence scan,not_squarefull
1514,0,2,2,1,small-prime recurrence scan,not_squarefull
1515,0,7,35,5,small-prime recurrence scan,not_squarefull
1516,0,3,6,2,small-prime recurrence scan,not_squarefull
1517,0,223,21631,97,small-prime recurrence scan,not_squarefull
1518,0,2,2,1,small-prime recurrence scan,not_squarefull
1519,0,61,2135,35,small-prime recurrence scan,not_squarefull
1520,0,3,3,1,small-prime recurrence scan,not_squarefull
1521,0,5,20,4,small-prime recurrence scan,not_squarefull
1522,0,2,2,1,small-prime recurrence scan,not_squarefull
1523,1,,,,,unresolved_by_search
1524,0,5,20,4,small-prime recurrence scan,not_squarefull
1525,0,29,174,6,small-prime recurrence scan,not_squarefull
1526,0,2,2,1,small-prime recurrence scan,not_squarefull
1527,0,5,15,3,small-prime recurrence scan,not_squarefull
1528,0,3,6,2,small-prime recurrence scan,not_squarefull
1529,0,23,460,20,small-prime recurrence scan,not_squarefull
1530,0,2,2,1,small-prime recurrence scan,not_squarefull
1531,1,3061,707091,231,small-prime recurrence scan,not_squarefull
1532,0,3,3,1,small-prime recurrence scan,not_squarefull
1533,0,5,10,2,small-prime recurrence scan,not_squarefull
1534,0,2,2,1,small-prime recurrence scan,not_squarefull
1535,0,29,29,1,small-prime recurrence scan,not_squarefull
1536,0,5,5,1,small-prime recurrence scan,not_squarefull
1537,0,9221,43744424,4744,small-prime recurrence scan,not_squarefull
1538,0,2,2,1,small-prime recurrence scan,not_squarefull
1539,0,5,5,1,small-prime recurrence scan,not_squarefull
1540,0,3,6,2,small-prime recurrence scan,not_squarefull
1541,0,47,1363,29,small-prime recurrence scan,not_squarefull
1542,0,2,2,1,small-prime recurrence scan,not_squarefull
1543,1,138869,1412019992,10168,small-prime recurrence scan,not_squarefull
1544,0,3,3,1,small-prime recurrence scan,not_squarefull
1545,0,7,42,6,small-prime recurrence scan,not_squarefull
1546,0,2,2,1,small-prime recurrence scan,not_squarefull
1547,0,79,5056,64,small-prime recurrence scan,not_squarefull
1548,0,5,15,3,small-prime recurrence scan,not_squarefull
1549,1,740423,24191100256,32672,prime-index congruence search,not_squarefull
1550,0,2,2,1,small-prime recurrence scan,not_squarefull
1551,0,5,20,4,small-prime recurrence scan,not_squarefull
1552,0,3,6,2,small-prime recurrence scan,not_squarefull
1553,1,86969,2199532979,25291,small-prime recurrence scan,not_squarefull
1554,0,2,2,1,small-prime recurrence scan,not_squarefull
1555,0,29,580,20,small-prime recurrence scan,not_squarefull
1556,0,3,3,1,small-prime recurrence scan,not_squarefull
1557,0,5,15,3,small-prime recurrence scan,not_squarefull
1558,0,2,2,1,small-prime recurrence scan,not_squarefull
1559,1,3119,1643713,527,small-prime recurrence scan,not_squarefull
1560,0,7,21,3,small-prime recurrence scan,not_squarefull
1561,0,239,39196,164,small-prime recurrence scan,not_squarefull
1562,0,2,2,1,small-prime recurrence scan,not_squarefull
1563,0,5,10,2,small-prime recurrence scan,not_squarefull
1564,0,3,6,2,small-prime recurrence scan,not_squarefull
1565,0,29,435,15,small-prime recurrence scan,not_squarefull
1566,0,2,2,1,small-prime recurrence scan,not_squarefull
1567,1,15671,97896737,6247,small-prime recurrence scan,not_squarefull
1568,0,3,3,1,small-prime recurrence scan,not_squarefull
1569,0,5,5,1,small-prime recurrence scan,not_squarefull
1570,0,2,2,1,small-prime recurrence scan,not_squarefull
1571,1,430453,102967370771,239207,prime-index congruence search,not_squarefull
1572,0,5,10,2,small-prime recurrence scan,not_squarefull
1573,0,23,184,8,small-prime recurrence scan,not_squarefull
1574,0,2,2,1,small-prime recurrence scan,not_squarefull
1575,0,29,290,10,small-prime recurrence scan,not_squarefull
1576,0,3,6,2,small-prime recurrence scan,not_squarefull
1577,0,37,777,21,small-prime recurrence scan,not_squarefull
1578,0,2,2,1,small-prime recurrence scan,not_squarefull
1579,1,305849143,11451740632622064,37442448,prime-index congruence search,not_squarefull
1580,0,3,3,1,small-prime recurrence scan,not_squarefull
1581,0,5,20,4,small-prime recurrence scan,not_squarefull
1582,0,2,2,1,small-prime recurrence scan,not_squarefull
1583,1,3167,5355397,1691,small-prime recurrence scan,not_squarefull
1584,0,5,20,4,small-prime recurrence scan,not_squarefull
1585,0,29,145,5,small-prime recurrence scan,not_squarefull
1586,0,2,2,1,small-prime recurrence scan,not_squarefull
1587,0,5,15,3,small-prime recurrence scan,not_squarefull
1588,0,3,6,2,small-prime recurrence scan,not_squarefull
1589,0,239,29397,123,small-prime recurrence scan,not_squarefull
1590,0,2,2,1,small-prime recurrence scan,not_squarefull
1591,0,223,37241,167,small-prime recurrence scan,not_squarefull
1592,0,3,3,1,small-prime recurrence scan,not_squarefull
1593,0,5,10,2,small-prime recurrence scan,not_squarefull
1594,0,2,2,1,small-prime recurrence scan,not_squarefull
1595,0,23,46,2,small-prime recurrence scan,not_squarefull
1596,0,5,5,1,small-prime recurrence scan,not_squarefull
1597,1,38329,550366111,14359,small-prime recurrence scan,not_squarefull
1598,0,2,2,1,small-prime recurrence scan,not_squarefull
1599,0,5,5,1,small-prime recurrence scan,not_squarefull
1600,0,3,6,2,small-prime recurrence scan,not_squarefull
1601,1,12809,160240590,12510,small-prime recurrence scan,not_squarefull
1602,0,2,2,1,small-prime recurrence scan,not_squarefull
1603,0,239,53058,222,small-prime recurrence scan,not_squarefull
1604,0,3,3,1,small-prime recurrence scan,not_squarefull
1605,0,7,7,1,small-prime recurrence scan,not_squarefull
1606,0,2,2,1,small-prime recurrence scan,not_squarefull
1607,1,16069,233643260,14540,small-prime recurrence scan,not_squarefull
1608,0,5,15,3,small-prime recurrence scan,not_squarefull
1609,1,6818941,26705107284533,3916313,prime-index congruence search,not_squarefull
1610,0,2,2,1,small-prime recurrence scan,not_squarefull
1611,0,5,20,4,small-prime recurrence scan,not_squarefull
1612,0,3,6,2,small-prime recurrence scan,not_squarefull
1613,1,1958183,1125753532151,574897,prime-index congruence search,not_squarefull
1614,0,2,2,1,small-prime recurrence scan,not_squarefull
1615,0,29,551,19,small-prime recurrence scan,not_squarefull
1616,0,3,3,1,small-prime recurrence scan,not_squarefull
1617,0,5,15,3,small-prime recurrence scan,not_squarefull
1618,0,2,2,1,small-prime recurrence scan,not_squarefull
1619,1,12953,38496316,2972,small-prime recurrence scan,not_squarefull
1620,0,7,35,5,small-prime recurrence scan,not_squarefull
1621,1,,,,,unresolved_by_search
1622,0,2,2,1,small-prime recurrence scan,not_squarefull
1623,0,5,10,2,small-prime recurrence scan,not_squarefull
1624,0,3,6,2,small-prime recurrence scan,not_squarefull
1625,0,29,406,14,small-prime recurrence scan,not_squarefull
1626,0,2,2,1,small-prime recurrence scan,not_squarefull
1627,1,3253,8392740,2580,small-prime recurrence scan,not_squarefull
1628,0,3,3,1,small-prime recurrence scan,not_squarefull
1629,0,5,5,1,small-prime recurrence scan,not_squarefull
1630,0,2,2,1,small-prime recurrence scan,not_squarefull
1631,0,239,43259,181,small-prime recurrence scan,not_squarefull
1632,0,5,10,2,small-prime recurrence scan,not_squarefull
1633,0,47,752,16,small-prime recurrence scan,not_squarefull
1634,0,2,2,1,small-prime recurrence scan,not_squarefull
1635,0,7,14,2,small-prime recurrence scan,not_squarefull
1636,0,3,6,2,small-prime recurrence scan,not_squarefull
1637,1,6953977,38258201528533,5501629,prime-index congruence search,not_squarefull
1638,0,2,2,1,small-prime recurrence scan,not_squarefull
1639,0,23,299,13,small-prime recurrence scan,not_squarefull
1640,0,3,3,1,small-prime recurrence scan,not_squarefull
1641,0,5,20,4,small-prime recurrence scan,not_squarefull
1642,0,2,2,1,small-prime recurrence scan,not_squarefull
1643,0,61,183,3,small-prime recurrence scan,not_squarefull
1644,0,5,20,4,small-prime recurrence scan,not_squarefull
1645,0,29,116,4,small-prime recurrence scan,not_squarefull
1646,0,2,2,1,small-prime recurrence scan,not_squarefull
1647,0,5,15,3,small-prime recurrence scan,not_squarefull
1648,0,3,6,2,small-prime recurrence scan,not_squarefull
1649,0,103,8137,79,small-prime recurrence scan,not_squarefull
1650,0,2,2,1,small-prime recurrence scan,not_squarefull
1651,0,79,4819,61,small-prime recurrence scan,not_squarefull
1652,0,3,3,1,small-prime recurrence scan,not_squarefull
1653,0,5,10,2,small-prime recurrence scan,not_squarefull
1654,0,2,2,1,small-prime recurrence scan,not_squarefull
1655,0,29,812,28,small-prime recurrence scan,not_squarefull
1656,0,5,5,1,small-prime recurrence scan,not_squarefull
1657,1,26513,182886674,6898,small-prime recurrence scan,not_squarefull
1658,0,2,2,1,small-prime recurrence scan,not_squarefull
1659,0,5,5,1,small-prime recurrence scan,not_squarefull
1660,0,3,6,2,small-prime recurrence scan,not_squarefull
1661,0,23,161,7,small-prime recurrence scan,not_squarefull
1662,0,2,2,1,small-prime recurrence scan,not_squarefull
1663,1,16631,119959403,7213,small-prime recurrence scan,not_squarefull
1664,0,3,3,1,small-prime recurrence scan,not_squarefull
1665,0,7,21,3,small-prime recurrence scan,not_squarefull
1666,0,2,2,1,small-prime recurrence scan,not_squarefull
1667,1,,,,,unresolved_by_search
1668,0,5,15,3,small-prime recurrence scan,not_squarefull
1669,1,34768609,258174758121417,7425513,prime-index congruence search,not_squarefull
1670,0,2,2,1,small-prime recurrence scan,not_squarefull
1671,0,5,20,4,small-prime recurrence scan,not_squarefull
1672,0,3,6,2,small-prime recurrence scan,not_squarefull
1673,0,479,183457,383,small-prime recurrence scan,not_squarefull
1674,0,2,2,1,small-prime recurrence scan,not_squarefull
1675,0,29,522,18,small-prime recurrence scan,not_squarefull
1676,0,3,3,1,small-prime recurrence scan,not_squarefull
1677,0,5,15,3,small-prime recurrence scan,not_squarefull
1678,0,2,2,1,small-prime recurrence scan,not_squarefull
1679,0,47,1551,33,small-prime recurrence scan,not_squarefull
1680,0,11,77,7,small-prime recurrence scan,not_squarefull
1681,0,2297,2891923,1259,small-prime recurrence scan,not_squarefull
1682,0,2,2,1,small-prime recurrence scan,not_squarefull
1683,0,5,10,2,small-prime recurrence scan,not_squarefull
1684,0,3,6,2,small-prime recurrence scan,not_squarefull
1685,0,29,377,13,small-prime recurrence scan,not_squarefull
1686,0,2,2,1,small-prime recurrence scan,not_squarefull
1687,0,239,23661,99,small-prime recurrence scan,not_squarefull
1688,0,3,3,1,small-prime recurrence scan,not_squarefull
1689,0,5,5,1,small-prime recurrence scan,not_squarefull
1690,0,2,2,1,small-prime recurrence scan,not_squarefull
1691,0,37,1295,35,small-prime recurrence scan,not_squarefull
1692,0,5,10,2,small-prime recurrence scan,not_squarefull
1693,1,528217,249227570676,471828,prime-index congruence search,not_squarefull
1694,0,2,2,1,small-prime recurrence scan,not_squarefull
1695,0,7,28,4,small-prime recurrence scan,not_squarefull
1696,0,3,6,2,small-prime recurrence scan,not_squarefull
1697,1,10181,76571301,7521,small-prime recurrence scan,not_squarefull
1698,0,2,2,1,small-prime recurrence scan,not_squarefull
1699,1,,,,,unresolved_by_search
1700,0,3,3,1,small-prime recurrence scan,not_squarefull
1701,0,5,20,4,small-prime recurrence scan,not_squarefull
1702,0,2,2,1,small-prime recurrence scan,not_squarefull
1703,0,79,1580,20,small-prime recurrence scan,not_squarefull
1704,0,5,20,4,small-prime recurrence scan,not_squarefull
1705,0,23,414,18,small-prime recurrence scan,not_squarefull
1706,0,2,2,1,small-prime recurrence scan,not_squarefull
1707,0,5,15,3,small-prime recurrence scan,not_squarefull
1708,0,3,6,2,small-prime recurrence scan,not_squarefull
1709,1,10253,65803754,6418,small-prime recurrence scan,not_squarefull
1710,0,2,2,1,small-prime recurrence scan,not_squarefull
1711,0,,,,,unresolved_by_search
1712,0,3,3,1,small-prime recurrence scan,not_squarefull
1713,0,5,10,2,small-prime recurrence scan,not_squarefull
1714,0,2,2,1,small-prime recurrence scan,not_squarefull
1715,0,29,783,27,small-prime recurrence scan,not_squarefull
1716,0,5,5,1,small-prime recurrence scan,not_squarefull
1717,0,103,9785,95,small-prime recurrence scan,not_squarefull
1718,0,2,2,1,small-prime recurrence scan,not_squarefull
1719,0,5,5,1,small-prime recurrence scan,not_squarefull
1720,0,3,6,2,small-prime recurrence scan,not_squarefull
1721,1,382061,142720796855,373555,prime-index congruence search,not_squarefull
1722,0,2,2,1,small-prime recurrence scan,not_squarefull
1723,1,,,,,unresolved_by_search
1724,0,3,3,1,small-prime recurrence scan,not_squarefull
1725,0,7,35,5,small-prime recurrence scan,not_squarefull
1726,0,2,2,1,small-prime recurrence scan,not_squarefull
1727,0,23,276,12,small-prime recurrence scan,not_squarefull
1728,0,5,15,3,small-prime recurrence scan,not_squarefull
1729,0,37,555,15,small-prime recurrence scan,not_squarefull
1730,0,2,2,1,small-prime recurrence scan,not_squarefull
1731,0,5,20,4,small-prime recurrence scan,not_squarefull
1732,0,3,6,2,small-prime recurrence scan,not_squarefull
1733,1,259949,17180289359,66091,prime-index congruence search,not_squarefull
1734,0,2,2,1,small-prime recurrence scan,not_squarefull
1735,0,29,493,17,small-prime recurrence scan,not_squarefull
1736,0,3,3,1,small-prime recurrence scan,not_squarefull
1737,0,5,15,3,small-prime recurrence scan,not_squarefull
1738,0,2,2,1,small-prime recurrence scan,not_squarefull
1739,0,223,18732,84,small-prime recurrence scan,not_squarefull
1740,0,7,14,2,small-prime recurrence scan,not_squarefull
1741,1,125353,7064644374,56358,small-prime recurrence scan,not_squarefull
1742,0,2,2,1,small-prime recurrence scan,not_squarefull
1743,0,5,10,2,small-prime recurrence scan,not_squarefull
1744,0,3,6,2,small-prime recurrence scan,not_squarefull
1745,0,29,348,12,small-prime recurrence scan,not_squarefull
1746,0,2,2,1,small-prime recurrence scan,not_squarefull
1747,1,9269581,10267108420153,1107613,prime-index congruence search,not_squarefull
1748,0,3,3,1,small-prime recurrence scan,not_squarefull
1749,0,5,5,1,small-prime recurrence scan,not_squarefull
1750,0,2,2,1,small-prime recurrence scan,not_squarefull
1751,0,137,959,7,small-prime recurrence scan,not_squarefull
1752,0,5,10,2,small-prime recurrence scan,not_squarefull
1753,1,42073,1456693479,34623,small-prime recurrence scan,not_squarefull
1754,0,2,2,1,small-prime recurrence scan,not_squarefull
1755,0,7,42,6,small-prime recurrence scan,not_squarefull
1756,0,3,6,2,small-prime recurrence scan,not_squarefull
1757,0,239,27724,116,small-prime recurrence scan,not_squarefull
1758,0,2,2,1,small-prime recurrence scan,not_squarefull
1759,1,3517,11247366,3198,small-prime recurrence scan,not_squarefull
1760,0,3,3,1,small-prime recurrence scan,not_squarefull
1761,0,5,20,4,small-prime recurrence scan,not_squarefull
1762,0,2,2,1,small-prime recurrence scan,not_squarefull
1763,0,2297,845296,368,small-prime recurrence scan,not_squarefull
1764,0,5,20,4,small-prime recurrence scan,not_squarefull
1765,0,29,58,2,small-prime recurrence scan,not_squarefull
1766,0,2,2,1,small-prime recurrence scan,not_squarefull
1767,0,5,15,3,small-prime recurrence scan,not_squarefull
1768,0,3,6,2,small-prime recurrence scan,not_squarefull
1769,0,853,438442,514,small-prime recurrence scan,not_squarefull
1770,0,2,2,1,small-prime recurrence scan,not_squarefull
1771,0,47,940,20,small-prime recurrence scan,not_squarefull
1772,0,3,3,1,small-prime recurrence scan,not_squarefull
1773,0,5,10,2,small-prime recurrence scan,not_squarefull
1774,0,2,2,1,small-prime recurrence scan,not_squarefull
1775,0,29,754,26,small-prime recurrence scan,not_squarefull
1776,0,5,5,1,small-prime recurrence scan,not_squarefull
1777,1,10663,31455850,2950,small-prime recurrence scan,not_squarefull
1778,0,2,2,1,small-prime recurrence scan,not_squarefull
1779,0,5,5,1,small-prime recurrence scan,not_squarefull
1780,0,3,6,2,small-prime recurrence scan,not_squarefull
1781,0,79,6083,77,small-prime recurrence scan,not_squarefull
1782,0,2,2,1,small-prime recurrence scan,not_squarefull
1783,1,60623,112698157,1859,small-prime recurrence scan,not_squarefull
1784,0,3,3,1,small-prime recurrence scan,not_squarefull
1785,0,29,609,21,small-prime recurrence scan,not_squarefull
1786,0,2,2,1,small-prime recurrence scan,not_squarefull
1787,1,159371809,23958971891049526,150333814,prime-index congruence search,not_squarefull
1788,0,5,15,3,small-prime recurrence scan,not_squarefull
1789,1,468719,219387208983,468057,prime-index congruence search,not_squarefull
1790,0,2,2,1,small-prime recurrence scan,not_squarefull
1791,0,5,20,4,small-prime recurrence scan,not_squarefull
1792,0,3,6,2,small-prime recurrence scan,not_squarefull
1793,0,23,391,17,small-prime recurrence scan,not_squarefull
1794,0,2,2,1,small-prime recurrence scan,not_squarefull
1795,0,29,464,16,small-prime recurrence scan,not_squarefull
1796,0,3,3,1,small-prime recurrence scan,not_squarefull
1797,0,5,15,3,small-prime recurrence scan,not_squarefull
1798,0,2,2,1,small-prime recurrence scan,not_squarefull
1799,0,239,41586,174,small-prime recurrence scan,not_squarefull
1800,0,7,28,4,small-prime recurrence scan,not_squarefull
1801,1,,,,,unresolved_by_search
1802,0,2,2,1,small-prime recurrence scan,not_squarefull
1803,0,5,10,2,small-prime recurrence scan,not_squarefull
1804,0,3,6,2,small-prime recurrence scan,not_squarefull
1805,0,29,319,11,small-prime recurrence scan,not_squarefull
1806,0,2,2,1,small-prime recurrence scan,not_squarefull
1807,0,79,1343,17,small-prime recurrence scan,not_squarefull
1808,0,3,3,1,small-prime recurrence scan,not_squarefull
1809,0,5,5,1,small-prime recurrence scan,not_squarefull
1810,0,2,2,1,small-prime recurrence scan,not_squarefull
1811,1,3623,11517517,3179,small-prime recurrence scan,not_squarefull
1812,0,5,10,2,small-prime recurrence scan,not_squarefull
1813,0,223,34342,154,small-prime recurrence scan,not_squarefull
1814,0,2,2,1,small-prime recurrence scan,not_squarefull
1815,0,7,7,1,small-prime recurrence scan,not_squarefull
1816,0,3,6,2,small-prime recurrence scan,not_squarefull
1817,0,47,1739,37,small-prime recurrence scan,not_squarefull
1818,0,2,2,1,small-prime recurrence scan,not_squarefull
1819,0,103,1648,16,small-prime recurrence scan,not_squarefull
1820,0,3,3,1,small-prime recurrence scan,not_squarefull
1821,0,5,20,4,small-prime recurrence scan,not_squarefull
1822,0,2,2,1,small-prime recurrence scan,not_squarefull
1823,1,164071,15976741767,97377,small-prime recurrence scan,not_squarefull
1824,0,5,20,4,small-prime recurrence scan,not_squarefull
1825,0,29,29,1,small-prime recurrence scan,not_squarefull
1826,0,2,2,1,small-prime recurrence scan,not_squarefull
1827,0,5,15,3,small-prime recurrence scan,not_squarefull
1828,0,3,6,2,small-prime recurrence scan,not_squarefull
1829,0,61,976,16,small-prime recurrence scan,not_squarefull
1830,0,2,2,1,small-prime recurrence scan,not_squarefull
1831,1,18311,207976338,11358,small-prime recurrence scan,not_squarefull
1832,0,3,3,1,small-prime recurrence scan,not_squarefull
1833,0,5,10,2,small-prime recurrence scan,not_squarefull
1834,0,2,2,1,small-prime recurrence scan,not_squarefull
1835,0,29,725,25,small-prime recurrence scan,not_squarefull
1836,0,5,5,1,small-prime recurrence scan,not_squarefull
1837,0,23,115,5,small-prime recurrence scan,not_squarefull
1838,0,2,2,1,small-prime recurrence scan,not_squarefull
1839,0,5,5,1,small-prime recurrence scan,not_squarefull
1840,0,3,6,2,small-prime recurrence scan,not_squarefull
1841,0,239,55448,232,small-prime recurrence scan,not_squarefull
1842,0,2,2,1,small-prime recurrence scan,not_squarefull
1843,0,37,1073,29,small-prime recurrence scan,not_squarefull
1844,0,3,3,1,small-prime recurrence scan,not_squarefull
1845,0,7,14,2,small-prime recurrence scan,not_squarefull
1846,0,2,2,1,small-prime recurrence scan,not_squarefull
1847,1,,,,,unresolved_by_search
1848,0,5,15,3,small-prime recurrence scan,not_squarefull
1849,0,11437,56647461,4953,small-prime recurrence scan,not_squarefull
1850,0,2,2,1,small-prime recurrence scan,not_squarefull
1851,0,5,20,4,small-prime recurrence scan,not_squarefull
1852,0,3,6,2,small-prime recurrence scan,not_squarefull
1853,0,103,2472,24,small-prime recurrence scan,not_squarefull
1854,0,2,2,1,small-prime recurrence scan,not_squarefull
1855,0,29,435,15,small-prime recurrence scan,not_squarefull
1856,0,3,3,1,small-prime recurrence scan,not_squarefull
1857,0,5,15,3,small-prime recurrence scan,not_squarefull
1858,0,2,2,1,small-prime recurrence scan,not_squarefull
1859,0,23,506,22,small-prime recurrence scan,not_squarefull
1860,0,7,42,6,small-prime recurrence scan,not_squarefull
1861,1,413141,65458886322,158442,prime-index congruence search,not_squarefull
1862,0,2,2,1,small-prime recurrence scan,not_squarefull
1863,0,5,10,2,small-prime recurrence scan,not_squarefull
1864,0,3,6,2,small-prime recurrence scan,not_squarefull
1865,0,29,290,10,small-prime recurrence scan,not_squarefull
1866,0,2,2,1,small-prime recurrence scan,not_squarefull
1867,1,3733,5670427,1519,small-prime recurrence scan,not_squarefull
1868,0,3,3,1,small-prime recurrence scan,not_squarefull
1869,0,5,5,1,small-prime recurrence scan,not_squarefull
1870,0,2,2,1,small-prime recurrence scan,not_squarefull
1871,1,48647,1122967348,23084,small-prime recurrence scan,not_squarefull
1872,0,5,10,2,small-prime recurrence scan,not_squarefull
1873,1,,,,,unresolved_by_search
1874,0,2,2,1,small-prime recurrence scan,not_squarefull
1875,0,7,21,3,small-prime recurrence scan,not_squarefull
1876,0,3,6,2,small-prime recurrence scan,not_squarefull
1877,1,240257,57441604588,239084,prime-index congruence search,not_squarefull
1878,0,2,2,1,small-prime recurrence scan,not_squarefull
1879,1,,,,,unresolved_by_search
1880,0,3,3,1,small-prime recurrence scan,not_squarefull
1881,0,5,20,4,small-prime recurrence scan,not_squarefull
1882,0,2,2,1,small-prime recurrence scan,not_squarefull
1883,0,239,12189,51,small-prime recurrence scan,not_squarefull
1884,0,5,20,4,small-prime recurrence scan,not_squarefull
1885,0,41,1107,27,small-prime recurrence scan,not_squarefull
1886,0,2,2,1,small-prime recurrence scan,not_squarefull
1887,0,5,15,3,small-prime recurrence scan,not_squarefull
1888,0,3,6,2,small-prime recurrence scan,not_squarefull
1889,1,56671,77299244,1364,small-prime recurrence scan,not_squarefull
1890,0,2,2,1,small-prime recurrence scan,not_squarefull
1891,0,853,17060,20,small-prime recurrence scan,not_squarefull
1892,0,3,3,1,small-prime recurrence scan,not_squarefull
1893,0,5,10,2,small-prime recurrence scan,not_squarefull
1894,0,2,2,1,small-prime recurrence scan,not_squarefull
1895,0,29,696,24,small-prime recurrence scan,not_squarefull
1896,0,5,5,1,small-prime recurrence scan,not_squarefull
1897,0,239,35850,150,small-prime recurrence scan,not_squarefull
1898,0,2,2,1,small-prime recurrence scan,not_squarefull
1899,0,5,5,1,small-prime recurrence scan,not_squarefull
1900,0,3,6,2,small-prime recurrence scan,not_squarefull
1901,1,,,,,unresolved_by_search
1902,0,2,2,1,small-prime recurrence scan,not_squarefull
1903,0,23,230,10,small-prime recurrence scan,not_squarefull
1904,0,3,3,1,small-prime recurrence scan,not_squarefull
1905,0,7,28,4,small-prime recurrence scan,not_squarefull
1906,0,2,2,1,small-prime recurrence scan,not_squarefull
1907,1,19069,55338238,2902,small-prime recurrence scan,not_squarefull
1908,0,5,15,3,small-prime recurrence scan,not_squarefull
1909,0,47,1128,24,small-prime recurrence scan,not_squarefull
1910,0,2,2,1,small-prime recurrence scan,not_squarefull
1911,0,5,20,4,small-prime recurrence scan,not_squarefull
1912,0,3,6,2,small-prime recurrence scan,not_squarefull
1913,1,,,,,unresolved_by_search
1914,0,2,2,1,small-prime recurrence scan,not_squarefull
1915,0,29,406,14,small-prime recurrence scan,not_squarefull
1916,0,3,3,1,small-prime recurrence scan,not_squarefull
1917,0,5,15,3,small-prime recurrence scan,not_squarefull
1918,0,2,2,1,small-prime recurrence scan,not_squarefull
1919,0,37,962,26,small-prime recurrence scan,not_squarefull
1920,0,7,7,1,small-prime recurrence scan,not_squarefull
1921,0,103,4120,40,small-prime recurrence scan,not_squarefull
1922,0,2,2,1,small-prime recurrence scan,not_squarefull
1923,0,5,10,2,small-prime recurrence scan,not_squarefull
1924,0,3,6,2,small-prime recurrence scan,not_squarefull
1925,0,23,92,4,small-prime recurrence scan,not_squarefull
1926,0,2,2,1,small-prime recurrence scan,not_squarefull
