family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,source_count,sink_count,residual_numerator,residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,conductor,coarse_ratio_floor,assignment,assigned_packet_products,optimal_capped_reward_product,source_capacity_product
unit_prime_square,p=409,1,167280,167281,409^2,409:409,2;3;5;17;41,1,5,1,1,1,1,1,1,8552190,0,2->409;3->409;5->409;17->409;41->409,409:20910,409,409
unit_prime_square,p=419,1,175560,175561,419^2,419:419,2;3;5;7;11;19,1,6,1,1,1,1,1,1,18389910,0,2->419;3->419;5->419;7->419;11->419;19->419,419:43890,419,419
unit_prime_square,p=421,1,177240,177241,421^2,421:421,2;3;5;7;211,1,5,1,1,1,1,1,1,18654510,0,2->421;3->421;5->421;7->421;211->421,421:44310,421,421
unit_prime_square,p=431,1,185760,185761,431^2,431:431,2;3;5;43,1,4,1,1,1,1,1,1,555990,0,2->431;3->431;5->431;43->431,431:1290,431,431
unit_prime_square,p=433,1,187488,187489,433^2,433:433,2;3;7;31,1,4,1,1,1,1,1,1,563766,0,2->433;3->433;7->433;31->433,433:1302,433,433
unit_prime_square,p=439,1,192720,192721,439^2,439:439,2;3;5;11;73,1,5,1,1,1,1,1,1,10575510,0,2->439;3->439;5->439;11->439;73->439,439:24090,439,439
unit_prime_square,p=443,1,196248,196249,443^2,443:443,2;3;13;17;37,1,5,1,1,1,1,1,1,21734466,0,2->443;3->443;13->443;17->443;37->443,443:49062,443,443
unit_prime_square,p=449,1,201600,201601,449^2,449:449,2;3;5;7,1,4,449,210,449,210,1,1,94290,7,2->449;3->449;5->449;7->449,449:210,210,449
unit_prime_square,p=457,1,208848,208849,457^2,457:457,2;3;19;229,1,4,1,1,1,1,1,1,11930442,0,2->457;3->457;19->457;229->457,457:26106,457,457
unit_prime_square,p=461,1,212520,212521,461^2,461:461,2;3;5;7;11;23,1,6,1,1,1,1,1,1,24492930,0,2->461;3->461;5->461;7->461;11->461;23->461,461:53130,461,461
unit_prime_square,p=463,1,214368,214369,463^2,463:463,2;3;7;11;29,1,5,1,1,1,1,1,1,6203274,0,2->463;3->463;7->463;11->463;29->463,463:13398,463,463
unit_prime_square,p=467,1,218088,218089,467^2,467:467,2;3;13;233,1,4,1,1,1,1,1,1,8487258,0,2->467;3->467;13->467;233->467,467:18174,467,467
unit_prime_square,p=479,1,229440,229441,479^2,479:479,2;3;5;239,1,4,1,1,1,1,1,1,3434430,0,2->479;3->479;5->479;239->479,479:7170,479,479
unit_prime_square,p=487,1,237168,237169,487^2,487:487,2;3;61,1,3,487,366,487,366,1,1,178242,2,2->487;3->487;61->487,487:366,366,487
unit_prime_square,p=491,1,241080,241081,491^2,491:491,2;3;5;7;41,1,5,1,1,1,1,1,1,4227510,0,2->491;3->491;5->491;7->491;41->491,491:8610,491,491
unit_prime_square,p=499,1,249000,249001,499^2,499:499,2;3;5;83,1,4,1,1,1,1,1,1,1242510,0,2->499;3->499;5->499;83->499,499:2490,499,499
unit_prime_square,p=503,1,253008,253009,503^2,503:503,2;3;7;251,1,4,1,1,1,1,1,1,5302626,0,2->503;3->503;7->503;251->503,503:10542,503,503
unit_prime_square,p=509,1,259080,259081,509^2,509:509,2;3;5;17;127,1,5,1,1,1,1,1,1,32967930,0,2->509;3->509;5->509;17->509;127->509,509:64770,509,509
unit_prime_square,p=521,1,271440,271441,521^2,521:521,2;3;5;13;29,1,5,1,1,1,1,1,1,5892510,0,2->521;3->521;5->521;13->521;29->521,521:11310,521,521
unit_prime_square,p=523,1,273528,273529,523^2,523:523,2;3;29;131,1,4,1,1,1,1,1,1,11921262,0,2->523;3->523;29->523;131->523,523:22794,523,523
unit_prime_square,p=541,1,292680,292681,541^2,541:541,2;3;5;271,1,4,1,1,1,1,1,1,4398330,0,2->541;3->541;5->541;271->541,541:8130,541,541
unit_prime_square,p=547,1,299208,299209,547^2,547:547,2;3;7;13;137,1,5,1,1,1,1,1,1,40916694,0,2->547;3->547;7->547;13->547;137->547,547:74802,547,547
unit_prime_square,p=557,1,310248,310249,557^2,557:557,2;3;31;139,1,4,1,1,1,1,1,1,14400678,0,2->557;3->557;31->557;139->557,557:25854,557,557
unit_prime_square,p=563,1,316968,316969,563^2,563:563,2;3;47;281,1,4,1,1,1,1,1,1,44613246,0,2->563;3->563;47->563;281->563,563:79242,563,563
unit_prime_square,p=569,1,323760,323761,569^2,569:569,2;3;5;19;71,1,5,1,1,1,1,1,1,23027430,0,2->569;3->569;5->569;19->569;71->569,569:40470,569,569
unit_prime_square,p=571,1,326040,326041,571^2,571:571,2;3;5;11;13;19,1,6,1,1,1,1,1,1,46542210,0,2->571;3->571;5->571;11->571;13->571;19->571,571:81510,571,571
unit_prime_square,p=577,1,332928,332929,577^2,577:577,2;3;17,1,3,577,102,577,102,1,1,58854,18,2->577;3->577;17->577,577:102,102,577
unit_prime_square,p=587,1,344568,344569,587^2,587:587,2;3;7;293,1,4,1,1,1,1,1,1,7223622,0,2->587;3->587;7->587;293->587,587:12306,587,587
unit_prime_square,p=593,1,351648,351649,593^2,593:593,2;3;11;37,1,4,1,1,1,1,1,1,1448106,0,2->593;3->593;11->593;37->593,593:2442,593,593
unit_prime_square,p=599,1,358800,358801,599^2,599:599,2;3;5;13;23,1,5,1,1,1,1,1,1,5373030,0,2->599;3->599;5->599;13->599;23->599,599:8970,599,599
unit_prime_square,p=601,1,361200,361201,601^2,601:601,2;3;5;7;43,1,5,1,1,1,1,1,1,5427030,0,2->601;3->601;5->601;7->601;43->601,601:9030,601,601
unit_prime_square,p=607,1,368448,368449,607^2,607:607,2;3;19;101,1,4,1,1,1,1,1,1,6988998,0,2->607;3->607;19->607;101->607,607:11514,607,607
unit_prime_square,p=613,1,375768,375769,613^2,613:613,2;3;17;307,1,4,1,1,1,1,1,1,19195482,0,2->613;3->613;17->613;307->613,613:31314,613,613
unit_prime_square,p=617,1,380688,380689,617^2,617:617,2;3;7;11;103,1,5,1,1,1,1,1,1,29360562,0,2->617;3->617;7->617;11->617;103->617,617:47586,617,617
unit_prime_square,p=619,1,383160,383161,619^2,619:619,2;3;5;31;103,1,5,1,1,1,1,1,1,59294010,0,2->619;3->619;5->619;31->619;103->619,619:95790,619,619
unit_prime_square,p=631,1,398160,398161,631^2,631:631,2;3;5;7;79,1,5,1,1,1,1,1,1,10468290,0,2->631;3->631;5->631;7->631;79->631,631:16590,631,631
unit_prime_square,p=641,1,410880,410881,641^2,641:641,2;3;5;107,1,4,1,1,1,1,1,1,2057610,0,2->641;3->641;5->641;107->641,641:3210,641,641
